__init__ Optimal Geometry
[(4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40)]
[10, 33, 32, 32, 20, 32, 14, 25, 28, 4, 23, 8, 7, 27, 11, 34, 12, 30, 26, 39] 7.714334961589808e-05
[26, 31, 26, 30, 9, 23, 34, 22, 22, 8, 27, 39, 20, 4, 10, 39, 13, 11, 22, 8] 7.746153744904032e-05
[5, 38, 30, 34, 39, 4, 26, 14, 23, 25, 6, 31, 10, 26, 8, 22, 38, 21, 25, 16] 1.5600367097634107e-05
[16, 40, 34, 7, 21, 20, 39, 34, 12, 20, 35, 24, 16, 34, 39, 14, 29, 19, 38, 39] 3.315095577887279e-05
[36, 27, 21, 32, 38, 6, 19, 32, 31, 14, 18, 12, 25, 40, 24, 23, 29, 27, 10, 31] 9.956968418267136e-05
[30, 39, 19, 26, 25, 27, 38, 35, 36, 15, 21, 11, 22, 7, 28, 36, 28, 37, 13, 25] 5.988338220860427e-05
[8, 10, 21, 7, 18, 12, 5, 14, 29, 18, 34, 34, 5, 37, 38, 35, 12, 39, 11, 7] 2.4001874358680757e-05
[36, 21, 17, 7, 20, 17, 38, 20, 33, 29, 18, 33, 33, 37, 32, 35, 23, 12, 5, 5] 5.49914913864544e-05
[7, 25, 26, 14, 17, 8, 36, 9, 40, 20, 25, 21, 38, 4, 25, 25, 40, 37, 27, 38] 3.027428643247237e-05
[12, 19, 17, 17, 20, 9, 28, 37, 16, 18, 18, 29, 22, 9, 25, 16, 13, 17, 13, 16] 8.97990247921255e-06
[13, 35, 4, 25, 28, 22, 22, 25, 6, 26, 30, 32, 12, 33, 24, 35, 17, 39, 15, 14] 6.0264223343942405e-05
[12, 23, 38, 18, 16, 17, 31, 29, 30, 29, 36, 18, 9, 40, 12, 4, 36, 26, 21, 33] 3.117918355822581e-05
[21, 14, 10, 6, 14, 25, 39, 17, 4, 8, 22, 38, 6, 34, 30, 19, 23, 11, 12, 28] 2.6178446833168237e-05
[32, 6, 14, 35, 28, 15, 27, 11, 33, 5, 36, 6, 5, 37, 26, 30, 26, 16, 40, 6] 6.273221349633046e-05
[4, 33, 24, 5, 17, 37, 20, 31, 36, 15, 22, 20, 34, 40, 36, 34, 37, 30, 32, 40] 6.47277981965402e-05
[30, 6, 39, 12, 10, 37, 6, 9, 5, 15, 8, 29, 8, 6, 12, 39, 6, 19, 28, 8] 1.4353267637328237e-05
[10, 26, 22, 5, 31, 35, 7, 19, 5, 10, 24, 28, 37, 4, 14, 4, 4, 7, 24, 39] 3.381803298645017e-05
[14, 6, 21, 33, 31, 7, 32, 20, 38, 23, 25, 32, 29, 22, 11, 23, 18, 25, 33, 35] 5.137364031334126e-05
[13, 30, 33, 11, 18, 37, 28, 30, 17, 39, 17, 37, 37, 20, 11, 4, 31, 18, 25, 21] 3.919293214272665e-05
[29, 34, 10, 7, 39, 14, 33, 16, 24, 6, 14, 17, 20, 15, 11, 24, 5, 13, 5, 15] 5.9300707331909805e-05
[25, 38, 23, 4, 4, 25, 14, 39, 35, 7, 36, 4, 27, 26, 12, 7, 20, 13, 34, 5] 2.296095578464756e-05
[5, 30, 16, 5, 30, 35, 28, 35, 20, 26, 34, 4, 35, 34, 26, 9, 34, 34, 31, 15] 9.522494218933119e-05
[36, 31, 20, 11, 7, 8, 23, 25, 23, 26, 31, 6, 27, 33, 16, 30, 40, 20, 25, 25] 5.650572638077691e-05
